,city_name,group
925,Fesmy-le-Sart,4
926,Fesmy-le-Sart,4
927,Festieux,4
928,Fieulaine,4
929,Filain,3
930,La Flamengrie,4
931,Flavigny-le-Grand-et-Beaurain,3
932,Flavigny-le-Grand-et-Beaurain,4
933,Flavy-le-Martel,4
934,Fleury,3
935,Fluquières,3
936,Folembray,4
937,Fonsommes,4
938,Fontaine-lès-Clercs,4
939,Fontaine-lès-Vervins,3
940,Fontaine-Notre-Dame,4
941,Fontaine-Uterte,4
942,Fontenelle,4
943,Fontenoy,3
944,Foreste,3
945,Fossoy,4
946,Fourdrain,4
947,Francilly-Selency,3
948,Franqueville,4
949,Fresnes-en-Tardenois,4
950,Fresnes,4
951,Fresnoy-le-Grand,4
952,Fresnoy-le-Grand,4
953,Fresnoy-le-Grand,4
954,Fressancourt,4
955,Frières-Faillouël,4
956,Frières-Faillouël,4
957,Froidestrées,4
958,Froidmont-Cohartille,4
959,Gandelu,4
960,Gauchy,4
961,Gauchy,4
962,Gauchy,4
963,Gauchy,4
964,Gercy,4
965,Gergny,4
966,Germaine,3
967,Gibercourt,3
968,Gizy,4
969,Gland,4
970,Goudelancourt-lès-Berrieux,3
971,Goudelancourt-lès-Pierrepont,4
972,Goussancourt,3
973,Gouy,4
974,Grandlup-et-Fay,4
975,Grandrieux,4
976,Gricourt,4
977,Grisolles,4
978,Gronard,3
979,Grougis,4
980,Grugies,4
981,Guignicourt,3
982,Guignicourt,4
983,Guise,4
984,Guise,4
985,Guise,4
986,Guivry,4
987,Guny,4
988,Guyencourt,3
989,Hannapes,4
990,Happencourt,4
991,Haramont,4
992,Harcigny,4
993,Hargicourt,4
994,Harly,4
995,Hartennes-et-Taux,4
996,Hary,4
997,Lehaucourt,4
998,Hautevesnes,4
999,Hauteville,4
1000,Haution,3
1001,La Hérie,4
1002,Le Hérie-la-Viéville,3
1003,Hinacourt,3
1004,Hirson,4
1005,Hirson,4
1006,Hirson,2
1007,Hirson,4
1008,Hirson,4
1009,Hirson,4
1010,Hirson,4
1011,Holnon,4
1012,Homblières,3
1013,Houry,3
1014,Housset,4
1015,Iron,4
1016,Itancourt,3
1017,Iviers,4
1018,Jaulgonne,3
1019,Jeancourt,4
1020,Jeantes,3
1021,Joncourt,4
1022,Jouaignes,3
1023,Jumencourt,4
1024,Jumigny,3
1025,Jussy,4
1026,Juvigny,4
1027,Juvincourt-et-Damary,4
1028,Laffaux,4
1029,Laigny,4
1030,Lanchy,4
1031,Landifay-et-Bertaignemont,4
1032,Landouzy-la-Cour,4
1033,Landouzy-la-Ville,4
1034,Landricourt,3
1035,Laniscourt,4
1036,Laon,0
1037,Laon,3
1038,Laon,0
1039,Laon,4
1040,Laon,4
1041,Laon,2
1042,Laon,2
1043,Laon,0
1044,Laon,4
1045,Laon,4
1046,Laon,4
1047,Laon,0
1048,Laon,4
1049,Laon,4
1050,Laon,4
1051,Laon,0
1052,Laon,4
1053,Laon,4
1054,Laon,0
1055,Lappion,4
1056,Largny-sur-Automne,0
1057,Latilly,4
1058,Launoy,4
1059,Laval-en-Laonnois,4
1060,Lavaqueresse,3
1061,Laversine,4
1062,Lemé,4
1063,Lempire,4
1064,Lerzy,3
1065,Leschelle,3
1066,Lesdins,4
1067,Lesges,4
1068,Lesquielles-Saint-Germain,4
1069,Leuilly-sous-Coucy,4
1070,Leury,3
1071,Leuze,4
1072,Levergies,4
1073,Lhuys,4
1074,Licy-Clignon,4
1075,Lierval,4
1076,Liesse-Notre-Dame,4
1077,Liez,4
1078,Limé,4
1079,Lislet,3
1080,Lizy,3
1081,Logny-lès-Aubenton,4
1082,Longpont,3
1083,Les Septvallons,3
1084,Les Septvallons,4
1085,Les Septvallons,3
1086,Les Septvallons,4
1087,Les Septvallons,4
1088,Les Septvallons,4
1089,Les Septvallons,4
1090,Lor,3
1091,Louâtre,3
1092,Loupeigne,4
1093,Lucy-le-Bocage,3
1094,Lugny,4
1095,Luzoir,3
1096,Ly-Fontaine,4
1097,Maast-et-Violaine,3
1098,Mâchecourt,4
1099,Macogny,3
1100,Macquigny,4
1101,Magny-la-Fosse,4
1102,Maissemy,3
1103,Maizy,4
1104,La Malmaison,4
1105,Malzy,4
1106,Manicamp,4
1107,Marchais,4
1108,Dhuys et Morin-en-Brie,4
1109,Dhuys et Morin-en-Brie,4
1110,Dhuys et Morin-en-Brie,4
1111,Dhuys et Morin-en-Brie,3
1112,Marcy,1
1113,Marcy-sous-Marle,4
1114,Marest-Dampcourt,4
1115,Mareuil-en-Dôle,4
1116,Marfontaine,4
1117,Margival,4
1118,Marigny-en-Orxois,4
1119,Marizy-Sainte-Geneviève,4
1120,Marizy-Saint-Mard,3
1121,Marle,4
1122,Marle,4
1123,Marly-Gomont,4
1124,Martigny,4
1125,Martigny-Courpierre,3
1126,Mauregny-en-Haye,4
1127,Mayot,4
1128,Mennessis,4
